"symptom","name_1","events_1","total_pop_1","prop_1","name_2","events_2","total_pop_2","prop_2","database","relative_risk","low_ci","up_ci"
"Abdominal pain","New infections",20266,468131,4.3291300939267,"Tested negative, all",61474,1259356,4.88138381839607,"SIDIAP",0.886865334705266,0.873209852949518,0.900734364420135
"Allergy","New infections",8151,468131,1.74117928528553,"Tested negative, all",24391,1259356,1.93678356239221,"SIDIAP",0.89900560862615,0.876940560078409,0.921625844594314
"Altered smell taste","New infections",857,468131,0.18306841461044,"Tested negative, all",680,1259356,0.0539958518480874,"SIDIAP",3.39041626985508,3.0659348282382,3.74923901742017
"Anxiety","New infections",12318,468131,2.63131473882311,"Tested negative, all",40337,1259356,3.20298628822986,"SIDIAP",0.821519201781321,0.805336098553023,0.838027501943629
"Blurred vision","New infections",2978,468131,0.636146719614809,"Tested negative, all",8663,1259356,0.687891271411737,"SIDIAP",0.924778007880904,0.88718653063508,0.963962294657449
"Chest pain","New infections",7761,468131,1.6578692716355,"Tested negative, all",22842,1259356,1.81378418810884,"SIDIAP",0.914038882081167,0.890996949174493,0.937676698815016
"Cognitive dysfunction brain fog","New infections",1462,468131,0.312305743477787,"Tested negative, all",4586,1259356,0.36415437731666,"SIDIAP",0.857619083914549,0.808669173148046,0.90953200334221
"Cough","New infections",8942,468131,1.91014908220135,"Tested negative, all",25982,1259356,2.06311797458384,"SIDIAP",0.925855479780141,0.904084987534844,0.948150208506673
"Depression","New infections",5162,468131,1.10268279605495,"Tested negative, all",18523,1259356,1.47083112320901,"SIDIAP",0.749700477950968,0.727060175644446,0.773045788323811
"Dizziness","New infections",9082,468131,1.94005524094751,"Tested negative, all",28868,1259356,2.29228272228028,"SIDIAP",0.846342042406365,0.826816578198496,0.866328604955251
"Dyspnea","New infections",4808,468131,1.02706293751108,"Tested negative, all",10731,1259356,0.852102185561509,"SIDIAP",1.20532836896115,1.1652130401011,1.24682476682245
"Fatigue malaise","New infections",8999,468131,1.92232516111943,"Tested negative, all",25112,1259356,1.99403504648408,"SIDIAP",0.96403780089468,0.941322046392075,0.987301726455853
"Gastrointestinal issues","New infections",11064,468131,2.36344100262533,"Tested negative, all",37366,1259356,2.9670720590524,"SIDIAP",0.796556657737577,0.780045162474302,0.813417657733327
"Headache","New infections",10082,468131,2.15367066056296,"Tested negative, all",30644,1259356,2.43330718240116,"SIDIAP",0.885079646392093,0.865602919593191,0.904994614419407
"Intermittent fever","New infections",5775,468131,1.23362904827922,"Tested negative, all",21693,1259356,1.72254707961847,"SIDIAP",0.716165649621872,0.695815247688775,0.737111236642123
"Joint pain","New infections",22006,468131,4.70082092405758,"Tested negative, all",65532,1259356,5.20361200486598,"SIDIAP",0.903376523780361,0.89001846209306,0.916935073232401
"Memory issues","New infections",1241,468131,0.265096735742773,"Tested negative, all",3328,1259356,0.264262051397699,"SIDIAP",1.00315854789085,0.93992982654334,1.07064064123523
"Menstrual problems","New infections",2955,468131,0.631233564963653,"Tested negative, all",8318,1259356,0.660496317165281,"SIDIAP",0.955695813222369,0.916534808081902,0.996530060131822
"Muscle spams pain","New infections",721,468131,0.154016717542739,"Tested negative, all",2449,1259356,0.194464472317597,"SIDIAP",0.792004399092502,0.728938468845418,0.86052663563692
"Neuralgia","New infections",5494,468131,1.17360311536728,"Tested negative, all",18450,1259356,1.46503450970178,"SIDIAP",0.801075406480475,0.777449823595909,0.825418936877144
"Pins sensation","New infections",2290,468131,0.489179310919379,"Tested negative, all",6634,1259356,0.526777178176782,"SIDIAP",0.92862662086552,0.885650339223849,0.973688331374483
"Sleep disorder","New infections",6659,468131,1.42246507921928,"Tested negative, all",21404,1259356,1.69959884258303,"SIDIAP",0.836941661514331,0.814405054163817,0.860101912674856
"Tachycardia","New infections",2818,468131,0.601968252476337,"Tested negative, all",7722,1259356,0.613170541133722,"SIDIAP",0.981730549812988,0.940406508782497,1.02487048253621
"Tinnitus and hearing problems","New infections",3783,468131,0.808107132405246,"Tested negative, all",11666,1259356,0.926346481852629,"SIDIAP",0.872359476973547,0.841078242185276,0.90480411797161
