"symptom","name_1","events_1","total_pop_1","prop_1","name_2","events_2","total_pop_2","prop_2","database","relative_risk","low_ci","up_ci"
"Abdominal pain","Reinfections",760,13253,5.73455066777333,"First infection",5877,39492,14.8814949863263,"SIDIAP",0.385347753907954,0.358239065512638,0.414507812623429
"Allergy","Reinfections",300,13253,2.26363842148947,"First infection",2354,39492,5.96070090144839,"SIDIAP",0.379760444101369,0.337312414684362,0.427550213469078
"Altered smell taste","Reinfections",22,13253,0.166000150909228,"First infection",245,39492,0.62037881089841,"SIDIAP",0.267578692232948,0.173059223639286,0.413721701920554
"Anxiety","Reinfections",478,13253,3.60673055157323,"First infection",3807,39492,9.63992707383774,"SIDIAP",0.374145003789677,0.340901182584845,0.41063067836656
"Blurred vision","Reinfections",127,13253,0.958273598430544,"First infection",922,39492,2.33465005570749,"SIDIAP",0.410457060186757,0.341315467589722,0.493604932254845
"Chest pain","Reinfections",310,13253,2.33909303553912,"First infection",2257,39492,5.71508153550086,"SIDIAP",0.409284280724462,0.364065713423178,0.460119193518857
"Cognitive dysfunction brain fog","Reinfections",75,13253,0.565909605372368,"First infection",573,39492,1.45092676997873,"SIDIAP",0.390033196079678,0.30685161960613,0.495763699208743
"Cough","Reinfections",372,13253,2.80691164264695,"First infection",2825,39492,7.15334751342044,"SIDIAP",0.392391343686419,0.352821425514325,0.436399139807289
"Depression","Reinfections",237,13253,1.78827435297668,"First infection",1621,39492,4.10462878557683,"SIDIAP",0.435672614113234,0.380701536302914,0.498581194422162
"Dizziness","Reinfections",360,13253,2.71636610578737,"First infection",2642,39492,6.68996252405551,"SIDIAP",0.406036072103538,0.364345230768748,0.452497460997124
"Dyspnea","Reinfections",210,13253,1.58454689504263,"First infection",1466,39492,3.71214423174314,"SIDIAP",0.426854883895113,0.369878832722195,0.492607513017539
"Fatigue malaise","Reinfections",344,13253,2.59563872330793,"First infection",2785,39492,7.05206117694723,"SIDIAP",0.368068095012125,0.329639293120703,0.410976862871285
"Gastrointestinal issues","Reinfections",543,13253,4.09718554289595,"First infection",3446,39492,8.72581788716702,"SIDIAP",0.4695474505515,0.429851427234281,0.512909331807913
"Headache","Reinfections",381,13253,2.87482079529163,"First infection",2873,39492,7.27489111718829,"SIDIAP",0.395170284885684,0.355768741134024,0.43893556684848
"Intermittent fever","Reinfections",271,13253,2.04482004074549,"First infection",1817,39492,4.60093183429555,"SIDIAP",0.444436065212553,0.391780756232311,0.50416824440579
"Joint pain","Reinfections",741,13253,5.591186901079,"First infection",6317,39492,15.9956446875317,"SIDIAP",0.349544329741035,0.32476788332334,0.376210963977819
"Memory issues","Reinfections",59,13253,0.44518222289293,"First infection",357,39492,0.903980553023397,"SIDIAP",0.492468805223742,0.374162392757014,0.648182523987651
"Menstrual problems","Reinfections",107,13253,0.807364370331246,"First infection",841,39492,2.12954522434924,"SIDIAP",0.379125252236879,0.31033784481462,0.463159615513661
"Muscle spams pain","Reinfections",32,13253,0.241454764958877,"First infection",256,39492,0.648232553428542,"SIDIAP",0.372481702256093,0.258067650030208,0.537621117948555
"Neuralgia","Reinfections",223,13253,1.68263789330718,"First infection",1524,39492,3.85900941962929,"SIDIAP",0.436028449360151,0.379391266881352,0.501120677379415
"Pins sensation","Reinfections",92,13253,0.694182449256772,"First infection",643,39492,1.62817785880685,"SIDIAP",0.426355416579291,0.34298641228173,0.529988753890307
"Sleep disorder","Reinfections",270,13253,2.03727457934053,"First infection",2043,39492,5.17319963536919,"SIDIAP",0.393813253486618,0.347406027654338,0.446419653881267
"Tachycardia","Reinfections",110,13253,0.830000754546141,"First infection",807,39492,2.04345183834701,"SIDIAP",0.406175833934773,0.333137556544687,0.495227286241076
"Tinnitus and hearing problems","Reinfections",144,13253,1.08654644231495,"First infection",1130,39492,2.86133900536818,"SIDIAP",0.379733558406212,0.319630080521104,0.45113893894077
