"symptom","name_1","events_1","total_pop_1","prop_1","name_2","events_2","total_pop_2","prop_2","database","relative_risk","low_ci","up_ci"
"Abdominal pain","New infections",15282,438159,3.48777498579283,"Tested negative, earliest",34557,1059596,3.26133733989181,"SIDIAP",1.06943091814861,1.04960570985414,1.08963058980605
"Allergy","New infections",6110,438159,1.39447095689008,"Tested negative, earliest",13949,1059596,1.31644513569323,"SIDIAP",1.05927008963861,1.02810617340284,1.09137864534866
"Altered smell taste","New infections",649,438159,0.148119746484724,"Tested negative, earliest",371,1059596,0.035013344708738,"SIDIAP",4.23037980852364,3.723906324536,4.80573670890994
"Anxiety","New infections",8985,438159,2.05062545788173,"Tested negative, earliest",22031,1059596,2.07918867190892,"SIDIAP",0.986262327025395,0.962604321911964,1.01050177686456
"Blurred vision","New infections",2219,438159,0.506437160939294,"Tested negative, earliest",5040,1059596,0.475652984722479,"SIDIAP",1.06471982139411,1.01298596231693,1.11909576266649
"Chest pain","New infections",5664,438159,1.29268142386668,"Tested negative, earliest",12557,1059596,1.1850743113413,"SIDIAP",1.09080199570235,1.05732301206792,1.12534105495454
"Cognitive dysfunction brain fog","New infections",1079,438159,0.246257637067822,"Tested negative, earliest",2614,1059596,0.246697798028683,"SIDIAP",0.998215788854309,0.929954815041155,1.07148728626555
"Cough","New infections",6467,438159,1.4759482288393,"Tested negative, earliest",14385,1059596,1.35759289389541,"SIDIAP",1.08718028466125,1.0559656228117,1.11931766131641
"Depression","New infections",3941,438159,0.899445178576727,"Tested negative, earliest",10155,1059596,0.958384138860471,"SIDIAP",0.938501736523078,0.904760316228113,0.973501482833343
"Dizziness","New infections",6946,438159,1.58526927439582,"Tested negative, earliest",16532,1059596,1.5602172903635,"SIDIAP",1.01605672760266,0.988196188691026,1.04470274781581
"Dyspnea","New infections",3132,438159,0.71480900768899,"Tested negative, earliest",5755,1059596,0.543131533150371,"SIDIAP",1.31608821079274,1.26021979434454,1.37443340150718
"Fatigue malaise","New infections",6308,438159,1.43966003208881,"Tested negative, earliest",14024,1059596,1.32352330510874,"SIDIAP",1.0877481541366,1.05612362110256,1.12031965120936
"Gastrointestinal issues","New infections",8247,438159,1.88219345032283,"Tested negative, earliest",20197,1059596,1.90610383580157,"SIDIAP",0.987455885125646,0.962719797125607,1.01282754128516
"Headache","New infections",7469,438159,1.70463233666317,"Tested negative, earliest",16736,1059596,1.57946991117369,"SIDIAP",1.07924331106534,1.05044578756289,1.10883030639937
"Intermittent fever","New infections",4313,438159,0.984345865313733,"Tested negative, earliest",11205,1059596,1.05747851067765,"SIDIAP",0.930842428829068,0.898876462274907,0.963945173417392
"Joint pain","New infections",16839,438159,3.84312544076465,"Tested negative, earliest",38416,1059596,3.62553275021801,"SIDIAP",1.06001674940974,1.04134781578337,1.07902037340322
"Memory issues","New infections",924,438159,0.210882350927403,"Tested negative, earliest",1996,1059596,0.188373682044855,"SIDIAP",1.11948945647932,1.0355835087726,1.21019370485511
"Menstrual problems","New infections",2181,438159,0.497764510143578,"Tested negative, earliest",4510,1059596,0.425633920852853,"SIDIAP",1.16946626139711,1.11132210016818,1.23065251409933
"Muscle spams pain","New infections",547,438159,0.124840525927802,"Tested negative, earliest",1517,1059596,0.143167773377778,"SIDIAP",0.871987619716518,0.790834486487266,0.961468451276399
"Neuralgia","New infections",4299,438159,0.98115067817847,"Tested negative, earliest",10469,1059596,0.988018074813419,"SIDIAP",0.993049320847448,0.958578704664324,1.02875950491818
"Pins sensation","New infections",1726,438159,0.393920928247508,"Tested negative, earliest",3888,1059596,0.366932302500198,"SIDIAP",1.07355205732342,1.01449705919091,1.13604471234497
"Sleep disorder","New infections",4913,438159,1.12128245682503,"Tested negative, earliest",11931,1059596,1.12599519061982,"SIDIAP",0.995814605751386,0.963452890305673,1.02926332881016
"Tachycardia","New infections",1870,438159,0.42678571021022,"Tested negative, earliest",4133,1059596,0.390054322590874,"SIDIAP",1.09416992837142,1.03612331992865,1.15546847477071
"Tinnitus and hearing problems","New infections",2786,438159,0.635842239917473,"Tested negative, earliest",6936,1059596,0.65458910754665,"SIDIAP",0.971360862237016,0.929713869973703,1.01487345210041
