"symptom","name_1","events_1","total_pop_1","prop_1","name_2","events_2","total_pop_2","prop_2","database","relative_risk","low_ci","up_ci"
"Abdominal pain","New infections",20261,468131,4.32806201682862,"Tested negative, all",61526,1259356,4.88551291294916,"SIDIAP",0.885897160430587,0.872256755771987,0.899750874574059
"Allergy","New infections",8152,468131,1.74139290070514,"Tested negative, all",24489,1259356,1.94456531751149,"SIDIAP",0.895517823455604,0.873550475732495,0.918037588445251
"Altered smell taste","New infections",857,468131,0.18306841461044,"Tested negative, all",669,1259356,0.0531223895387801,"SIDIAP",3.44616302466585,3.11491122755558,3.812641428595
"Anxiety","New infections",12317,468131,2.63110112340349,"Tested negative, all",40312,1259356,3.2010011466178,"SIDIAP",0.821961943432459,0.805768410042033,0.838480918377057
"Blurred vision","New infections",2978,468131,0.636146719614809,"Tested negative, all",8694,1259356,0.690352847010694,"SIDIAP",0.921480547765386,0.884039954773112,0.96050681343687
"Chest pain","New infections",7759,468131,1.65744204079627,"Tested negative, all",22832,1259356,1.81299013146402,"SIDIAP",0.914203564615028,0.891153968473959,0.937849335941374
"Cognitive dysfunction brain fog","New infections",1461,468131,0.312092128058172,"Tested negative, all",4622,1259356,0.36701298123803,"SIDIAP",0.850357191741296,0.801854014466056,0.901794267411195
"Cough","New infections",8941,468131,1.90993546678173,"Tested negative, all",26157,1259356,2.07701396586827,"SIDIAP",0.919558316972274,0.897953660798312,0.941682778553545
"Depression","New infections",5161,468131,1.10246918063534,"Tested negative, all",18335,1259356,1.4559028582863,"SIDIAP",0.757240893072371,0.734345703913996,0.780849900918327
"Dizziness","New infections",9082,468131,1.94005524094751,"Tested negative, all",28668,1259356,2.27640158938378,"SIDIAP",0.85224647970514,0.832568247306251,0.872389818516144
"Dyspnea","New infections",4806,468131,1.02663570667185,"Tested negative, all",10773,1259356,0.855437223469773,"SIDIAP",1.20012980322235,1.16020571579883,1.24142772697066
"Fatigue malaise","New infections",8998,468131,1.92211154569981,"Tested negative, all",24864,1259356,1.97434244169242,"SIDIAP",0.973545168816898,0.950574054033699,0.997071392496815
"Gastrointestinal issues","New infections",11065,468131,2.36365461804495,"Tested negative, all",37443,1259356,2.97318629521756,"SIDIAP",0.794990418813294,0.778515902069302,0.811813560037821
"Headache","New infections",10081,468131,2.15345704514335,"Tested negative, all",30520,1259356,2.42346088000534,"SIDIAP",0.888587500178095,0.869022900068368,0.908592564604036
"Intermittent fever","New infections",5776,468131,1.23384266369884,"Tested negative, all",21904,1259356,1.73930167482428,"SIDIAP",0.709389682973481,0.689253606716355,0.730114021030156
"Joint pain","New infections",22003,468131,4.70018007779874,"Tested negative, all",65301,1259356,5.18526929637053,"SIDIAP",0.906448596814184,0.893038181929289,0.920060390801367
"Memory issues","New infections",1241,468131,0.265096735742773,"Tested negative, all",3322,1259356,0.263785617410804,"SIDIAP",1.0049703935523,0.941612397427061,1.07259154050689
"Menstrual problems","New infections",2953,468131,0.630806334124422,"Tested negative, all",8306,1259356,0.659543449191491,"SIDIAP",0.956428776447865,0.91722077646907,0.997312782140632
"Muscle spams pain","New infections",721,468131,0.154016717542739,"Tested negative, all",2424,1259356,0.192479330705535,"SIDIAP",0.800172761294364,0.736384653074397,0.869486409370836
"Neuralgia","New infections",5493,468131,1.17338949994766,"Tested negative, all",18346,1259356,1.45677632059561,"SIDIAP",0.805469915565295,0.78169766229852,0.829965108214693
"Pins sensation","New infections",2289,468131,0.488965695499764,"Tested negative, all",6602,1259356,0.524236196913343,"SIDIAP",0.932720209666466,0.889521268785084,0.978017075081819
"Sleep disorder","New infections",6656,468131,1.42182423296043,"Tested negative, all",21276,1259356,1.68943491752928,"SIDIAP",0.841597517730832,0.818915452505186,0.864907823736801
"Tachycardia","New infections",2817,468131,0.601754637056721,"Tested negative, all",7639,1259356,0.606579870981676,"SIDIAP",0.992045179611473,0.950221951939772,1.03570922181004
"Tinnitus and hearing problems","New infections",3783,468131,0.808107132405246,"Tested negative, all",11604,1259356,0.921423330654716,"SIDIAP",0.87702048072849,0.84555174800802,0.909660379071131
