"symptom","name_1","events_1","total_pop_1","prop_1","name_2","events_2","total_pop_2","prop_2","database","relative_risk","low_ci","up_ci"
"Abdominal pain","Reinfections",760,13253,5.73455066777333,"First infection",4988,39492,12.6304061582093,"SIDIAP",0.454027415741188,0.421752119239805,0.488772634068049
"Allergy","Reinfections",300,13253,2.26363842148947,"First infection",1949,39492,4.93517674465715,"SIDIAP",0.458674235718124,0.406826669521238,0.517129456530435
"Altered smell taste","Reinfections",22,13253,0.166000150909228,"First infection",233,39492,0.589992909956447,"SIDIAP",0.281359569086148,0.181803799609941,0.435432082751773
"Anxiety","Reinfections",478,13253,3.60673055157323,"First infection",3106,39492,7.86488402714474,"SIDIAP",0.458586616042273,0.417332234298195,0.50391910120903
"Blurred vision","Reinfections",127,13253,0.958273598430544,"First infection",731,39492,1.85100779904791,"SIDIAP",0.517703706555664,0.429237926658201,0.624402251376294
"Chest pain","Reinfections",310,13253,2.33909303553912,"First infection",1879,39492,4.75792565582903,"SIDIAP",0.49162034145562,0.436670056599713,0.553485535543587
"Cognitive dysfunction brain fog","Reinfections",75,13253,0.565909605372368,"First infection",427,39492,1.08123164185151,"SIDIAP",0.523393492631512,0.409826733360906,0.66843064600125
"Cough","Reinfections",372,13253,2.80691164264695,"First infection",2258,39492,5.71761369391269,"SIDIAP",0.490923625294124,0.440714276163764,0.546853185628076
"Depression","Reinfections",237,13253,1.78827435297668,"First infection",1319,39492,3.33991694520409,"SIDIAP",0.535424797177826,0.466934215466046,0.613961675836459
"Dizziness","Reinfections",360,13253,2.71636610578737,"First infection",2177,39492,5.51250886255444,"SIDIAP",0.492764034220279,0.441538991160829,0.549931938700742
"Dyspnea","Reinfections",210,13253,1.58454689504263,"First infection",1258,39492,3.18545528208245,"SIDIAP",0.497431844030394,0.430387416695869,0.57492024593816
"Fatigue malaise","Reinfections",344,13253,2.59563872330793,"First infection",2258,39492,5.71761369391269,"SIDIAP",0.453972384680588,0.405985405947149,0.507631365644233
"Gastrointestinal issues","Reinfections",543,13253,4.09718554289595,"First infection",2857,39492,7.23437658259901,"SIDIAP",0.566349497585043,0.517800571844693,0.619450365363899
"Headache","Reinfections",381,13253,2.87482079529163,"First infection",2429,39492,6.15061278233566,"SIDIAP",0.4674039639673,0.420313544590561,0.519770224738199
"Intermittent fever","Reinfections",271,13253,2.04482004074549,"First infection",1411,39492,3.57287551909247,"SIDIAP",0.572317739540191,0.50330739923526,0.650790343019156
"Joint pain","Reinfections",741,13253,5.591186901079,"First infection",5323,39492,13.4786792261724,"SIDIAP",0.414817120228089,0.385118008038864,0.446806536288899
"Memory issues","Reinfections",59,13253,0.44518222289293,"First infection",312,39492,0.790033424491036,"SIDIAP",0.56349795982332,0.42692674233756,0.743757462899763
"Menstrual problems","Reinfections",107,13253,0.807364370331246,"First infection",700,39492,1.77251088828117,"SIDIAP",0.455491910187451,0.371997847364327,0.55772602372889
"Muscle spams pain","Reinfections",32,13253,0.241454764958877,"First infection",199,39492,0.503899523954219,"SIDIAP",0.479172441093265,0.330063181624737,0.695643261914406
"Neuralgia","Reinfections",223,13253,1.68263789330718,"First infection",1346,39492,3.40828522232351,"SIDIAP",0.493690458265134,0.429051311017002,0.568067879816779
"Pins sensation","Reinfections",92,13253,0.694182449256772,"First infection",546,39492,1.38255849285931,"SIDIAP",0.502099877033854,0.402941386039994,0.625659947703632
"Sleep disorder","Reinfections",270,13253,2.03727457934053,"First infection",1654,39492,4.18819001316722,"SIDIAP",0.486433178278815,0.428360725632221,0.55237845762168
"Tachycardia","Reinfections",110,13253,0.830000754546141,"First infection",690,39492,1.74718930416287,"SIDIAP",0.475049127515017,0.3888376859822,0.580375003988449
"Tinnitus and hearing problems","Reinfections",144,13253,1.08654644231495,"First infection",945,39492,2.39288969917958,"SIDIAP",0.454072932274094,0.381469847294663,0.540494168244785
